Departamento,2018,2019,2020,2021,2022,2023,2024,2025
almirante brown,41254,42039,42810,43567,44310,45038,45749,46444
bermejo,27212,27398,27581,27761,27937,28110,28278,28443
chacabuco,35140,35607,36066,36517,36960,37393,37816,38231
comandante fernandez,111457,112951,114419,115861,117275,118660,120015,121338
12 de octubre,25626,25970,26309,26640,26966,27285,27597,27901
2 de abril,7844,7866,7888,7909,7931,7952,7972,7993
fray justo santa maria de oro,13920,14142,14361,14575,14786,14992,15193,15391
general belgrano,14257,14502,14741,14977,15208,15435,15656,15872
general donovan,14221,14266,14311,14355,14398,14440,14481,14522
general guemes,75769,76624,77464,78289,79099,79891,80666,81424
independencia,25418,25719,26014,26305,26589,26868,27141,27408
libertad,14247,14469,14685,14898,15107,15312,15513,15709
libertador general san martin,67199,68009,68805,69585,70352,71102,71836,72552
maipu,26925,27033,27136,27234,27327,27414,27495,27571
mayor luis j fontana,59351,59701,60044,60381,60712,61036,61352,61663
9 de julio,31680,31974,32265,32550,32829,33102,33370,33632
o higgins,21559,21669,21778,21885,21990,22092,22193,22291
presidencia de la plaza,13362,13427,13492,13555,13617,13679,13738,13797
1 de mayo,12134,12326,12515,12701,12883,13061,13235,13406
quitilipi,37975,38347,38714,39073,39426,39773,40110,40441
san fernando,434391,438554,442642,446661,450608,454478,458272,461965
san lorenzo,15830,15922,16012,16099,16186,16271,16354,16435
sargento cabral,17598,17757,17914,18069,18220,18369,18514,18656
tapenaga,4252,4255,4258,4260,4261,4261,4261,4261
25 de mayo,31856,32089,32317,32540,32759,32975,33185,33391
